team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Atalanta,24.0,49.0,21.0,231.0,1890.0,38.0,27.0,6.0,8.0,52.0,3.0,1.81,1.29,3.1,1.52,2.81,33.0,26.6,1.57,1.27,21.0,21.0,1890.0,24.0,1.14,82.0,59.0,72.0,11.0,5.0,5.0,7.0,33.3,1.0,1.0,0.0,0.0,21.0,1.0,3.0,1.0,20.5,0.24,-2.5,-0.12,112.0,262.0,42.7,553.0,152.0,28.9,31.2,159.0,64.2,47.8,260.0,17.0,6.5,26.0,1.24,16.8,87.0,8.0,32.8,4.14,0.12,0.37,0.1,5.0,5.4,8083.0,10311.0,78.4,142248.0,54886.0,3752.0,4307.0,87.1,3233.0,3866.0,83.6,862.0,1555.0,55.4,225.0,610.0,220.0,45.0,899.0,9253.0,1028.0,240.0,25.0,98.0,332.0,90.0,39.0,32.0,0.0,461.0,30.0,170.0,494.0,23.52,372.0,42.0,27.0,23.0,69.0,3.29,49.0,4.0,7.0,7.0,1.0,361.0,204.0,165.0,152.0,44.0,237.0,51.0,186.0,237.0,344.0,7.0,12695.0,1329.0,4185.0,5353.0,3273.0,519.0,12687.0,7036.0,365.0,286.0,119.0,8021.0,340.0,214.0,1.0,261.0,217.0,30.0,6.0,1.0,1.0,1220.0,317.0,260.0,54.9
Bologna,25.0,51.9,21.0,231.0,1890.0,27.0,20.0,4.0,4.0,56.0,2.0,1.29,0.95,2.24,1.1,2.05,24.6,21.7,1.17,1.04,21.0,21.0,1890.0,31.0,1.48,94.0,65.0,72.3,8.0,5.0,8.0,3.0,14.3,5.0,5.0,0.0,0.0,21.0,1.0,4.0,2.0,30.8,0.28,1.8,0.08,99.0,240.0,41.3,563.0,117.0,32.1,32.7,153.0,38.6,34.5,299.0,18.0,6.0,17.0,0.81,13.3,77.0,8.0,30.4,3.67,0.09,0.3,0.09,2.4,1.3,8149.0,10353.0,78.7,144147.0,53606.0,3718.0,4247.0,87.5,3263.0,3844.0,84.9,899.0,1598.0,56.3,197.0,566.0,126.0,39.0,685.0,9268.0,1043.0,285.0,35.0,102.0,306.0,84.0,41.0,32.0,0.0,457.0,42.0,220.0,452.0,21.52,335.0,40.0,27.0,22.0,45.0,2.14,33.0,4.0,4.0,3.0,0.0,360.0,213.0,181.0,135.0,44.0,237.0,80.0,157.0,197.0,397.0,5.0,12622.0,1428.0,4470.0,5725.0,2541.0,319.0,12618.0,6817.0,272.0,246.0,60.0,8071.0,325.0,168.0,1.0,267.0,247.0,42.0,3.0,5.0,2.0,1160.0,193.0,239.0,44.7
Cremonese,30.0,44.2,21.0,231.0,1890.0,15.0,7.0,2.0,4.0,48.0,1.0,0.71,0.33,1.05,0.62,0.95,22.3,19.1,1.06,0.91,21.0,21.0,1890.0,37.0,1.76,127.0,91.0,74.0,0.0,8.0,13.0,3.0,14.3,4.0,4.0,0.0,0.0,21.0,1.0,6.0,1.0,39.7,0.29,3.7,0.18,89.0,323.0,27.6,562.0,99.0,43.2,38.1,153.0,52.3,46.2,265.0,19.0,7.2,17.0,0.81,13.6,69.0,10.0,24.9,3.29,0.05,0.19,0.07,-7.3,-6.1,6061.0,8473.0,71.5,110090.0,45732.0,2663.0,3200.0,83.2,2593.0,3270.0,79.3,662.0,1501.0,44.1,191.0,559.0,183.0,65.0,690.0,7378.0,1049.0,251.0,12.0,52.0,417.0,97.0,32.0,54.0,0.0,463.0,46.0,182.0,474.0,22.57,330.0,51.0,37.0,30.0,21.0,1.0,13.0,2.0,5.0,1.0,0.0,417.0,221.0,244.0,132.0,41.0,244.0,76.0,168.0,216.0,392.0,8.0,10894.0,1339.0,3926.0,4414.0,2681.0,432.0,10890.0,5417.0,305.0,231.0,55.0,6000.0,313.0,180.0,0.0,276.0,218.0,46.0,3.0,4.0,1.0,1156.0,296.0,388.0,43.3
Empoli,27.0,46.8,21.0,231.0,1890.0,19.0,11.0,0.0,0.0,52.0,4.0,0.9,0.52,1.43,0.9,1.43,20.1,20.1,0.96,0.96,21.0,21.0,1890.0,26.0,1.24,92.0,65.0,72.8,6.0,8.0,7.0,7.0,33.3,3.0,1.0,1.0,1.0,21.0,0.0,6.0,0.0,26.4,0.27,0.4,0.02,102.0,310.0,32.9,766.0,113.0,33.8,34.0,108.0,47.2,42.4,426.0,25.0,5.9,12.0,0.57,10.9,75.0,11.0,30.5,3.57,0.08,0.25,0.08,-1.1,-1.1,7157.0,9174.0,78.0,126244.0,49779.0,3184.0,3630.0,87.7,3037.0,3584.0,84.7,723.0,1391.0,52.0,179.0,433.0,142.0,50.0,602.0,8071.0,1076.0,291.0,14.0,46.0,314.0,85.0,36.0,30.0,0.0,459.0,27.0,207.0,426.0,20.29,315.0,40.0,23.0,25.0,33.0,1.57,24.0,4.0,2.0,1.0,0.0,364.0,208.0,189.0,130.0,45.0,252.0,112.0,140.0,154.0,503.0,3.0,11636.0,1687.0,4564.0,4695.0,2509.0,358.0,11636.0,6377.0,313.0,261.0,74.0,7073.0,311.0,219.0,2.0,252.0,256.0,27.0,0.0,3.0,0.0,1001.0,211.0,242.0,46.6
Fiorentina,28.0,57.3,21.0,231.0,1890.0,23.0,18.0,2.0,4.0,53.0,2.0,1.1,0.86,1.95,1.0,1.86,29.0,26.2,1.38,1.25,21.0,21.0,1890.0,28.0,1.33,69.0,42.0,63.8,6.0,6.0,9.0,4.0,19.0,3.0,3.0,0.0,0.0,21.0,0.0,4.0,1.0,22.3,0.28,-4.7,-0.22,101.0,262.0,38.5,651.0,85.0,31.5,32.8,127.0,44.9,40.3,187.0,10.0,5.3,34.0,1.62,18.0,97.0,9.0,29.5,4.62,0.06,0.22,0.08,-6.0,-5.2,8952.0,11074.0,80.8,171234.0,56690.0,3574.0,4017.0,89.0,4011.0,4607.0,87.1,1194.0,1936.0,61.7,263.0,719.0,211.0,65.0,968.0,9963.0,1081.0,335.0,13.0,108.0,479.0,135.0,53.0,57.0,0.0,435.0,30.0,180.0,585.0,27.86,423.0,64.0,43.0,24.0,40.0,1.9,31.0,4.0,3.0,1.0,0.0,327.0,182.0,135.0,143.0,49.0,192.0,53.0,139.0,158.0,247.0,8.0,13263.0,1102.0,3656.0,6033.0,3699.0,564.0,13259.0,7944.0,434.0,348.0,107.0,8875.0,341.0,206.0,2.0,271.0,285.0,30.0,2.0,3.0,1.0,1130.0,317.0,274.0,53.6
Hellas Verona,34.0,43.1,21.0,231.0,1890.0,17.0,14.0,0.0,0.0,61.0,3.0,0.81,0.67,1.48,0.81,1.48,21.4,21.4,1.02,1.02,21.0,21.0,1890.0,33.0,1.57,107.0,74.0,69.2,3.0,5.0,13.0,2.0,9.5,1.0,0.0,1.0,0.0,21.0,0.0,2.0,1.0,27.6,0.25,-4.4,-0.21,206.0,413.0,49.9,497.0,65.0,62.2,44.1,168.0,61.9,46.7,294.0,15.0,5.1,46.0,2.19,16.8,64.0,5.0,26.8,3.05,0.07,0.27,0.09,-4.4,-4.4,5320.0,7738.0,68.8,105279.0,48760.0,2122.0,2716.0,78.1,2223.0,2875.0,77.3,814.0,1606.0,50.7,178.0,496.0,138.0,50.0,640.0,6709.0,984.0,230.0,13.0,48.0,392.0,106.0,49.0,40.0,1.0,420.0,45.0,194.0,405.0,19.29,279.0,54.0,26.0,15.0,30.0,1.43,20.0,2.0,3.0,1.0,1.0,330.0,179.0,172.0,117.0,41.0,246.0,85.0,161.0,188.0,406.0,5.0,10142.0,1235.0,3420.0,4289.0,2567.0,389.0,10142.0,4652.0,309.0,219.0,66.0,5235.0,352.0,197.0,0.0,312.0,203.0,45.0,0.0,1.0,1.0,1274.0,422.0,385.0,52.3
Inter,23.0,54.0,21.0,231.0,1890.0,40.0,27.0,2.0,2.0,41.0,1.0,1.9,1.29,3.19,1.81,3.1,36.0,34.5,1.71,1.64,21.0,21.0,1890.0,26.0,1.24,80.0,56.0,70.0,14.0,1.0,6.0,7.0,33.3,2.0,2.0,0.0,0.0,21.0,0.0,3.0,2.0,21.2,0.24,-2.8,-0.13,86.0,208.0,41.3,698.0,107.0,25.1,28.9,137.0,24.1,32.7,244.0,9.0,3.7,9.0,0.43,13.7,104.0,13.0,32.2,4.95,0.12,0.37,0.11,4.0,3.5,9203.0,11205.0,82.1,167144.0,57939.0,3902.0,4372.0,89.2,4091.0,4658.0,87.8,979.0,1634.0,59.9,241.0,643.0,198.0,66.0,846.0,10205.0,963.0,264.0,26.0,107.0,468.0,117.0,31.0,70.0,0.0,378.0,37.0,138.0,561.0,26.71,405.0,68.0,40.0,31.0,69.0,3.29,48.0,4.0,6.0,5.0,2.0,305.0,169.0,128.0,132.0,45.0,213.0,55.0,158.0,168.0,302.0,5.0,13309.0,1410.0,4369.0,5920.0,3133.0,517.0,13307.0,7752.0,339.0,262.0,73.0,9105.0,294.0,148.0,1.0,258.0,250.0,37.0,1.0,2.0,2.0,1068.0,266.0,221.0,54.6
Juventus,26.0,49.2,21.0,231.0,1890.0,33.0,25.0,3.0,4.0,36.0,4.0,1.57,1.19,2.76,1.43,2.62,31.2,28.0,1.49,1.33,21.0,21.0,1890.0,17.0,0.81,69.0,51.0,76.8,12.0,5.0,4.0,13.0,61.9,2.0,1.0,1.0,0.0,21.0,0.0,3.0,0.0,20.6,0.27,3.6,0.17,86.0,218.0,39.4,538.0,96.0,32.0,33.3,113.0,40.7,37.5,277.0,6.0,2.2,21.0,1.0,16.6,99.0,8.0,34.0,4.71,0.1,0.3,0.1,1.8,2.0,8418.0,10323.0,81.5,158691.0,54696.0,3427.0,3878.0,88.4,3745.0,4245.0,88.2,1084.0,1733.0,62.6,227.0,629.0,161.0,56.0,751.0,9352.0,938.0,240.0,20.0,108.0,387.0,103.0,29.0,64.0,0.0,382.0,33.0,167.0,501.0,23.86,358.0,47.0,43.0,19.0,52.0,2.48,35.0,3.0,5.0,7.0,1.0,333.0,193.0,156.0,133.0,44.0,233.0,78.0,155.0,184.0,371.0,7.0,12614.0,1349.0,4199.0,5765.0,2760.0,432.0,12610.0,6815.0,339.0,241.0,74.0,8352.0,337.0,190.0,1.0,251.0,217.0,33.0,4.0,2.0,0.0,1089.0,257.0,247.0,51.0
Lazio,21.0,51.4,21.0,231.0,1890.0,36.0,26.0,3.0,4.0,44.0,1.0,1.71,1.24,2.95,1.57,2.81,27.6,24.7,1.31,1.17,21.0,21.0,1888.0,17.0,0.81,69.0,52.0,76.8,11.0,6.0,4.0,11.0,52.4,1.0,1.0,0.0,0.0,21.0,0.0,4.0,0.0,16.2,0.22,-0.8,-0.04,101.0,235.0,43.0,654.0,96.0,29.7,33.0,120.0,34.2,34.5,279.0,7.0,2.5,39.0,1.86,18.2,83.0,6.0,36.7,3.95,0.15,0.4,0.11,8.4,8.3,9445.0,11410.0,82.8,153449.0,56912.0,4969.0,5508.0,90.2,3213.0,3728.0,86.2,914.0,1499.0,61.0,171.0,574.0,150.0,19.0,715.0,10386.0,995.0,327.0,33.0,82.0,259.0,93.0,37.0,44.0,0.0,355.0,29.0,155.0,396.0,18.86,295.0,35.0,23.0,19.0,62.0,2.95,47.0,2.0,9.0,1.0,0.0,343.0,197.0,154.0,142.0,47.0,226.0,68.0,158.0,177.0,355.0,4.0,13576.0,1483.0,4589.0,6390.0,2710.0,436.0,13572.0,7572.0,384.0,255.0,104.0,9372.0,310.0,175.0,0.0,218.0,282.0,29.0,2.0,1.0,0.0,1112.0,216.0,207.0,51.1
Lecce,26.0,42.4,21.0,231.0,1890.0,20.0,14.0,1.0,2.0,47.0,2.0,0.95,0.67,1.62,0.9,1.57,18.6,17.1,0.89,0.81,21.0,21.0,1890.0,24.0,1.14,89.0,66.0,76.4,5.0,8.0,8.0,3.0,14.3,3.0,3.0,0.0,0.0,21.0,1.0,4.0,1.0,24.0,0.24,1.0,0.05,106.0,400.0,26.5,506.0,83.0,54.5,41.3,163.0,76.1,51.7,316.0,15.0,4.7,20.0,0.95,12.5,60.0,9.0,28.6,2.86,0.09,0.32,0.08,1.4,1.9,5710.0,8109.0,70.4,106591.0,42553.0,2420.0,2951.0,82.0,2345.0,2975.0,78.8,770.0,1675.0,46.0,157.0,530.0,112.0,39.0,681.0,6981.0,1091.0,307.0,10.0,87.0,375.0,93.0,34.0,24.0,0.0,476.0,37.0,163.0,350.0,16.67,254.0,32.0,16.0,23.0,32.0,1.52,25.0,1.0,2.0,1.0,1.0,399.0,226.0,195.0,146.0,58.0,271.0,65.0,206.0,223.0,474.0,2.0,10671.0,1256.0,3760.0,4500.0,2532.0,327.0,10669.0,5311.0,298.0,199.0,70.0,5648.0,351.0,196.0,1.0,298.0,264.0,37.0,2.0,3.0,1.0,1159.0,316.0,396.0,44.4
